"Gene","Log2FoldChange","PValue"
"Sult5a1",4.74555958077921,0.0435966448855414
"Tbx21",-5.20651101970697,0.0435966448855414
"Aif1l",4.1035495529439,0.049745990721503
"Ltbp2",-4.97969218713072,0.0435966448855414
"Angptl2",-3.48489795846494,0.049745990721503
"Nes",6.6367531893584,0.0435966448855414
"Steap4",-7.37219929946615,0.0319112047696388
"Aldh1a2",-6.9478327089049,0.0435966448855414
"Ace2",5.29583227149733,0.049745990721503
"Dyrk3",5.76442170796662,0.0435966448855414
"Pmp22",-3.11224420079132,0.049745990721503
"P4ha2",-4.09072945504424,0.049745990721503
"Cdk1",3.42187025117779,0.049745990721503
"Dram1",-6.43389335204324,0.0319112047696388
"Gfpt2",-3.98261732991366,0.0435966448855414
"Upp1",-3.99893576087744,0.0435966448855414
"Spata20",5.40261500017636,0.0435966448855414
"Serpina3n",-8.29017869182745,0.0435966448855414
"Efcab11",5.83388070467832,0.0435966448855414
"Iqgap2",-4.63582975355131,0.049745990721503
"Rgs7bp",-5.25558111504021,0.0319112047696388
"Peli2",4.26802364728994,0.049745990721503
"Epsti1",-3.53651806336894,0.0435966448855414
"Tgm1",3.99238855208182,0.049745990721503
"Shcbp1",5.94151590332547,0.0435966448855414
"Zfat",5.1882558354591,0.0435966448855414
"C1qtnf6",4.90997087677083,0.049745990721503
"Srl",5.65388708207973,0.049745990721503
"Clic6",6.82806151620872,0.0435966448855414
"Agpat4",7.59681115039693,0.0435966448855414
"Thbs2",4.99391022169848,0.0435966448855414
"Smoc2",-6.54244049266214,0.0435966448855414
"Ndc80",6.45972149436981,0.0435966448855414
"Il33",-5.51582635299465,0.049745990721503
"Pip5k1b",5.8064664049035,0.0435966448855414
"Aldh3b1",-7.4027708511321,0.0319112047696388
"Tesmin",4.70167813317733,0.049745990721503
"Rcor2",2.555858727065,0.049745990721503
"Cep55",6.55524509659888,0.0435966448855414
"Arhgap19",5.04642172909372,0.049745990721503
"Itgb8",-5.0037336663685,0.0435966448855414
"Pstpip2",-4.79637853195808,0.0435966448855414
"Avil",3.4421237423955,0.049745990721503
"Il6",-4.17209794619205,0.049745990721503
"Casp12",-7.00272677970001,0.0435966448855414
"Col5a2",-2.26811887729231,0.049745990721503
"Il1r2",-6.59442893799553,0.0435966448855414
"Serpine2",4.82694235022472,0.049745990721503
"Ppfia4",4.25502574680313,0.049745990721503
"Sec16b",-4.48922453470528,0.0435966448855414
"Suv39h2",3.78203755739587,0.049745990721503
"Zfp385b",3.28568874355172,0.049745990721503
"Fbn1",-4.28657033202503,0.0435966448855414
"Nusap1",3.53596753228376,0.049745990721503
"Gfra4",7.13438336520855,0.0435966448855414
"Dusp2",4.81061618395205,0.049745990721503
"Bub1",5.84860320504141,0.049745990721503
"Aurka",4.14817291166058,0.049745990721503
"Ect2",6.50133845471339,0.0435966448855414
"Tlr2",6.00417750178935,0.049745990721503
"Epha7",4.2326983746034,0.049745990721503
"Cdkn2c",3.57029721453923,0.049745990721503
"Kif2c",4.77756151980048,0.049745990721503
"Gpatch3",3.4669341143491,0.049745990721503
"Hes2",-6.4131975151035,0.0319112047696388
"Bst1",-7.32015527159828,0.0319112047696388
"Rasl11a",-4.37116785139725,0.049745990721503
"Fam234b",4.36333957031446,0.049745990721503
"Rtn2",5.17115121840324,0.049745990721503
"Zfp273",-2.19029840951605,0.049745990721503
"Lrfn1",4.98861711181708,0.0435966448855414
"Hapln3",4.80679878541514,0.0435966448855414
"Kif22",4.24473845905814,0.049745990721503
"Tead2",5.31764870326977,0.0435966448855414
"Mki67",4.16227425447282,0.049745990721503
"Gpm6a",-6.87042284223678,0.0435966448855414
"Tagln",6.49857446669139,0.0435966448855414
"Acrv1",5.05715397972456,0.0435966448855414
"Abcg4",4.78225485138274,0.0435966448855414
"Mcam",5.7308108831925,0.0435966448855414
"Nnmt",-7.69127093162684,0.0319112047696388
"Dapk2",6.36978633629518,0.049745990721503
"Stk36",-5.91378496718895,0.0319112047696388
"Fbxl8",3.52288469644019,0.049745990721503
"Palmd",-4.29450841197706,0.049745990721503
"Armcx2",4.42046776759898,0.049745990721503
"Adamts15",-5.239497062264,0.0319112047696388
"Aspm",5.77160715735935,0.049745990721503
"Jcad",-6.86161384256062,0.0319112047696388
"Dnah17",2.82069810983878,0.049745990721503
"Rasl10a",-3.38611781779831,0.049745990721503
"Kif4",5.2371235470618,0.0435966448855414
"Edil3",4.13409870730861,0.049745990721503
"Lrrn1",4.2202620649331,0.049745990721503
"Asb16",-3.05171533947798,0.049745990721503
"Fam167a",4.8670779990464,0.049745990721503
"Ccl2",-7.80199731523975,0.0319112047696388
"Fbxl21",-2.66467238225606,0.049745990721503
"Muc20",6.82414882104574,0.0435966448855414
"Xylb",2.41389247685995,0.049745990721503
"Dipk1b",2.26816729806386,0.049745990721503
"Plch1",6.41278505882971,0.049745990721503
"Scd1",-3.47921708227907,0.049745990721503
"Aff3",-4.49940355638855,0.0435966448855414
"Slc9a7",2.45612218462539,0.049745990721503
"Shank2",5.45371342244048,0.049745990721503
"Ephx3",5.63063120907205,0.0435966448855414
"Cdkn3",6.23112759380939,0.0435966448855414
"Slc16a9",-3.05729122957443,0.0435966448855414
"Aim2",4.44153551843319,0.049745990721503
"Olfml2b",-2.00688848706731,0.049745990721503
"Rln1",-6.30452264193997,0.0435966448855414
"Saa3",-10.5615446955364,0.049745990721503
"Bub1b",6.26879751364389,0.0435966448855414
"Dnm3",4.28553074080647,0.049745990721503
"Tex45",6.16162432010925,0.0435966448855414
"Erc2",4.25175887064367,0.049745990721503
"Ccnb1",7.03088112900131,0.049745990721503
"Kif14",5.62762834174914,0.0435966448855414
"Fbxo2",-2.6163810573474,0.049745990721503
"Amot",4.71294878834817,0.0435966448855414
"Coro2b",-1.75010916981735,0.049745990721503
"Enc1",5.64539104653609,0.0435966448855414
"Klhdc8a",-4.02323333454178,0.049745990721503
"Zfand4",4.38341225849704,0.049745990721503
"Tmem108",-3.18725276544357,0.049745990721503
"Nrep",3.53947502621197,0.049745990721503
"B3galnt1",6.57527159978061,0.0435966448855414
"Gpr146",-4.73395419726307,0.049745990721503
"Shisa2",5.14971181120428,0.049745990721503
"Cenph",5.55993281402697,0.0435966448855414
"Tmem86b",2.4995466642936,0.049745990721503
"Cenpe",8.17345498511731,0.0435966448855414
"Zswim3",-3.195427011053,0.049745990721503
"Calhm6",5.39125985870692,0.0435966448855414
"E2f8",6.8100684058698,0.0435966448855414
"Pcdhb17",3.53508864891048,0.049745990721503
"Rhoj",-7.36010062821383,0.0435966448855414
"Ddit4l",5.58013609571488,0.0435966448855414
"Flrt2",-4.85075457375008,0.049745990721503
"Msl3l2",5.84986591190629,0.0435966448855414
"Diras2",5.53678631821579,0.0435966448855414
"Ckap2l",6.15335830143343,0.0435966448855414
"Lhfp",-7.06386106139683,0.0435966448855414
"Vstm2a",-5.52892035693458,0.0319112047696388
"6-Sep",6.63791089637577,0.0435966448855414
"Prss27",6.20705422122942,0.049745990721503
"Zgrf1",5.42129282105296,0.0435966448855414
"B630019K06Rik",-2.63597170106965,0.0435966448855414
"Prkcb",7.85528553381853,0.0435966448855414
"Slc39a8",-5.69247333370742,0.049745990721503
"Tceal5",3.69866345711538,0.049745990721503
"Ifi205",-7.97793777131705,0.0319112047696388
"Smim10l2a",5.12061001159037,0.0435966448855414
"Fut2",5.5096680396366,0.0435966448855414
"Snx32",-5.96298582016776,0.0319112047696388
"Slit3",-3.62434565039952,0.0435966448855414
"Them6",-2.52480255745375,0.049745990721503
"Gm13199",4.30788141931578,0.049745990721503
"Gulp1",-4.93813548508901,0.0435966448855414
"Itpk1",5.39340667097446,0.049745990721503
"Pcnx2",-5.24005080639136,0.0435966448855414
"Zfp13",5.75439604089753,0.0435966448855414
"Nrg1",-4.66148676463382,0.049745990721503
"Sema3e",6.14446561683487,0.0435966448855414
"Arl9",5.16279579321849,0.0435966448855414
"Fbln2",-2.91595774160208,0.0435966448855414
"Chil1",-7.86483746694615,0.0319112047696388
"Aox3",-8.38894797206596,0.0435966448855414
"Myl9",-4.73770804222745,0.0435966448855414
"Nat8f4",6.56195614637912,0.0435966448855414
"Psrc1",6.44558917422995,0.0435966448855414
"Cyp3a57",-4.26254067302017,0.049745990721503
"Npw",-4.90789687011225,0.0435966448855414
"Drc1",5.39358198677824,0.0435966448855414
"Ifi204",-6.21442784392281,0.0435966448855414
"Zfp791",-2.70104517228848,0.0435966448855414
"Tox2",-4.81530929712549,0.0435966448855414
"H60b",-2.824013735803,0.049745990721503
"Rtl10",-5.2048565702343,0.0319112047696388
"Gm28557",5.09228414074147,0.0435966448855414
